"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Absicoccus","Absicoccus porci","Absicoccus porci",1,0,4,0,0,0,0,0,4
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio ethanolgignens","Acetivibrio ethanolgignens",2,0,6,2,0,83,273,249,220
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",3,0,0,0,0,4862,12696,64751,18311
NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus timonensis","Acidaminococcus timonensis",4,0,0,0,0,0,0,2,0
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax temperans","Acidovorax temperans",5,0,0,0,0,4,1,50,17
NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",6,0,0,0,0,5,0,0,0
NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Actibacterium","Actibacterium lipolyticum","Actibacterium lipolyticum",7,0,0,0,0,0,0,3,0
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus indolicus","Actinobacillus indolicus",8,0,0,0,0,0,6,0,0
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Actinobacillus minor","Actinobacillus minor",9,0,0,0,0,0,0,0,2
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",10,0,0,0,0,9296,24312,80946,35019
NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia hattorii","Adlercreutzia hattorii",11,0,0,0,0,0,0,0,3
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Aedoeadaptatus","Aedoeadaptatus coli","Aedoeadaptatus coli",12,0,0,0,0,0,1,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis",13,492407,741052,990850,444739,214382,197585,94858,348027
NA,"Bacillota","Clostridia","Eubacteriales","Butyricicoccaceae","Agathobaculum","Agathobaculum butyriciproducens","Agathobaculum butyriciproducens",14,0,0,0,0,18357,47501,75313,29203
NA,"Bacillota","Clostridia","Eubacteriales","Butyricicoccaceae","Agathobaculum","Agathobaculum massiliense","Agathobaculum massiliense",15,37,35,82,13,1,34,0,5
NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia muciniphila",16,0,0,0,0,81196,212334,81400,130510
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes communis","Alistipes communis",17,4,23,27,0,0,0,0,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes dispar","Alistipes dispar",18,0,7,0,0,0,0,0,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes finegoldii",19,0,0,1,0,46532,114077,93147,72580
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes inops","Alistipes inops",20,0,0,0,0,11358,29722,65007,42811
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes provencensis","Alistipes provencensis",21,0,4,0,0,0,0,0,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes putredinis",22,297429,442997,734202,266573,130253,114406,70004,210119
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes shahii",23,0,0,7,7,12621,33210,109850,47561
NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Amedibacillus hominis","Amedibacillus hominis",24,0,0,0,0,21,103,49,69
NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus","Amylolactobacillus amylophilus","Amylolactobacillus amylophilus",25,0,0,0,0,0,2,1,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Anaerobutyricum hallii",26,0,0,0,0,65493,171337,98724,106876
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum soehngenii","Anaerobutyricum soehngenii",27,0,0,0,0,25,24,19,5
NA,"Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus ihuae","Anaerococcus ihuae",28,0,0,0,0,0,0,1,0
NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Anaerolactibacter","Anaerolactibacter massiliensis","Anaerolactibacter massiliensis",29,10,0,10,0,0,3,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaeromicropila","Anaeromicropila herbilytica","Anaeromicropila herbilytica",30,0,0,0,0,2,0,0,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosacchariphilus","Anaerosacchariphilus hominis","Anaerosacchariphilus hominis",31,0,0,0,0,0,0,0,3
NA,"Bacillota","Tissierellia","Tissierellales","Sporanaerobacteraceae","Anaerosalibacter","Anaerosalibacter massiliensis","Anaerosalibacter massiliensis",32,0,0,0,0,0,0,0,2
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes hadrus",33,0,0,0,0,75044,196039,82330,120369
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis","Anaerotruncus colihominis",34,0,0,0,0,0,0,0,9
