"old_name","current_name"
"Aquamicrobium aerolatum","Aerobium aerolatum"
"Clostridium aminophilum","[Clostridium] aminophilum"
"Clostridium fimetarium","[Clostridium] fimetarium"
"Clostridium polysaccharolyticum","[Clostridium] polysaccharolyticum"
"Clostridium scindens","[Clostridium] scindens"
"Clostridium symbiosum","[Clostridium] symbiosum"
"Enterobacter lignolyticus","[Enterobacter] lignolyticus"
"Lactococcus piscium","Pseudolactococcus piscium"
"Pseudomonas zeshuii","Pseudomonas luteola"
"Ruminococcus lactaris","[Ruminococcus] lactaris"
"Ruminococcus torques","[Ruminococcus] torques"
