"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","genus_counts","best_hit_species","species_counts","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score"
537011,"Segatella copri",4965851,0.49699706086375,4965849.6,0.496996920312238,"0","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri","Segatella",1,"Segatella copri",1,1,0,0,0,0
435590,"Phocaeicola vulgatus",593710,0.0594202534480831,537899.6,0.0538345841084433,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola",35,"Phocaeicola vulgatus",15,2,0,0,0,0
820,"Bacteroides uniformis",373807,0.0374117105668889,381758.3,0.0382074951964255,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides",26,"Bacteroides uniformis",18,1,0,0,0,0
853,"Faecalibacterium prausnitzii",351188,0.0351479341225942,350037.5,0.0350327873716665,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium",16,"Faecalibacterium prausnitzii",1,1,0,0,0,0
39491,"Agathobacter rectalis",208285,0.020845779066268,210984.7,0.0211159698899943,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter",33,"Agathobacter rectalis",33,2,0,0,0,0
1150298,"Fusicatenibacter saccharivorans",154023,0.0154150775577877,151913.9,0.0152039908282736,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Blautia",1,"Streptococcus suis",1,1,0,0,0,0
301302,"Roseburia faecis",140541,0.0140657591077244,136290.4,0.0136403504715519,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis","Bifidobacterium",1,"Bifidobacterium pseudocatenulatum",1,1,0,0,0,0
386585,"Escherichia coli",138745,0.0138860101137833,138744.6,0.01388597427184,"0","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia",40,"Escherichia coli",40,1,0,0,0,0
445970,"Alistipes putredinis",130523,0.0130631280268214,128352.6,0.0128459031253138,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes",1,"bacterium",1,1,0,0,0,0
411903,"Collinsella aerofaciens",130479,0.0130587243766358,130422.4,0.013053056578506,"0","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella",2,"Bacteriophage sp.",1,1,0,0,0,0
357276,"Phocaeicola dorei",130238,0.0130346043835735,172707,0.0172850275685657,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola",32,"Phocaeicola dorei",30,1,0,0,0,0
367928,"Bifidobacterium adolescentis",122979,0.0123081021859019,122427.4,0.0122529001377354,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium",23,"Bifidobacterium adolescentis",39,1,0,0,0,0
28116,"Bacteroides ovatus",114349,0.0114443862517641,101716.1,0.0101800456551408,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides",41,"Bacteroides ovatus",10,1,0,0,0,0
40518,"Ruminococcus bromii",114341,0.011443585588094,114315,0.0114409824937087,"0","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii","Faecalibacterium",1,"Bacteriophage sp.",1,1,0,0,0,0
823,"Parabacteroides distasonis",100190,0.0100273116386172,100908.6,0.0100992274021775,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides",40,"Parabacteroides distasonis",18,1,0,0,0,0
449673,"Bacteroides stercoris",98717,0.00987988944035711,100136.4,0.0100219464472071,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","Bacteroides",3,"Bacteroides uniformis",1,1,0,0,0,0
484018,"Phocaeicola plebeius",88479,0.00885524010852596,87919.6,0.00879925343424376,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius","Phocaeicola",2,"Bacteroides thetaiotaomicron",1,3,0,0,0,0
997873,"Bacteroides caccae",86366,0.00864376481665653,86392.7,0.00864643447658158,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides",19,"Bacteroides caccae",29,2,0,0,0,0
239935,"Akkermansia muciniphila",81196,0.00812633591984396,81194.5,0.00812618735672274,"0","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia",48,"Akkermansia muciniphila",48,1,0,0,0,0
565042,"Bifidobacterium longum",79518,0.0079583967150371,79993,0.00800593497198978,"0","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium",45,"Bifidobacterium longum",41,1,0,0,0,0
818,"Bacteroides thetaiotaomicron",77346,0.00774101652860056,77599.3,0.00776637031892736,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides",43,"Bacteroides thetaiotaomicron",42,1,0,0,0,0
649756,"Anaerostipes hadrus",75389,0.00754515417829839,75349.6,0.00754121002199506,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes",1,"Bacteriophage sp.",1,1,0,0,0,0
88431,"Dorea longicatena",74355,0.00744166839893588,72750.7,0.00728110434806118,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena","Mediterraneibacter",1,"uncultured bacterium",1,1,0,0,0,0
39488,"Anaerobutyricum hallii",64703,0.00647566768094073,65344,0.00653982010720537,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Acinetobacter",1,"Clostridium saccharobutylicum",1,2,0,0,0,0
622312,"Roseburia inulinivorans",64450,0.00645034669237331,63936.4,0.00639894545367037,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans","Roseburia",3,"Roseburia intestinalis",4,3,0,0,0,0
33039,"[Ruminococcus] torques",64230,0.00642832844144511,63971.8,0.00640248521652933,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques","Mediterraneibacter",1,"Mediterraneibacter gnavus",2,1,0,0,0,0
246787,"Bacteroides cellulosilyticus",60028,0.0060077798487166,59220.8,0.00592699124350596,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides cellulosilyticus","Bacteroides",9,"Bacteroides thetaiotaomicron",1,1,0,0,0,0
46503,"Parabacteroides merdae",57644,0.00576918207502199,58404.2,0.00584526080818279,"0","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae","Parabacteroides",2,"Parabacteroides merdae",41,2,0,0,0,0
515620,"Lachnospira eligens",56009,0.005605546437442,56285.7,0.00563324278950603,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Roseburia",1,"Bacteriophage sp.",1,1,0,0,0,0
742726,"Barnesiella intestinihominis",50951,0.00509932683201105,49850.2,0.00498915501460198,"0","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","Acinetobacter",1,"Acinetobacter pittii",1,1,0,0,0,0
33043,"Coprococcus eutactus",50821,0.00508631604737167,51207.3,0.00512498086408954,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus","Coprococcus",2,"Coprococcus eutactus",50,5,0,0,0,0
1121115,"Blautia wexlerae",50012,0.00500534893373117,50813.8,0.00508559634243727,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia wexlerae","Blautia",1,"Enterococcus faecium",1,1,0,0,0,0
470146,"Coprococcus comes",49157,0.00491977800398751,50137.1,0.00501787173186789,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus comes","Anaerostipes",1,"uncultured Lachnospiraceae bacterium",1,1,0,0,0,0
411459,"Blautia obeum",47552,0.00475914485517045,47844.1,0.0047883793856287,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia",2,"Streptococcus oralis",1,1,0,0,0,0
272559,"Bacteroides fragilis",46394,0.00464324878892114,46841.4,0.00468802956446665,"0","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides",43,"Bacteroides fragilis",43,1,0,0,0,0
536231,"Roseburia intestinalis",45489,0.00455267371123925,47623.2,0.0047662692215489,"0","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia intestinalis","Roseburia",1,"Roseburia intestinalis",34,1,0,0,0,0
214856,"Alistipes finegoldii",44060,0.00440965516316475,45275.9,0.00453134335028797,"0","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes",4,"Alistipes onderdonkii",10,1,0,0,0,0
