species,abundance,sample
Bacteroides uniformis,0.0275888083668288,healthy_stool_500_1
Bacteroides uniformis,0.0143944308590364,healthy_stool_500_10
Bacteroides uniformis,0.0401941219982069,healthy_stool_500_50
Bacteroides uniformis,0.002,healthy_stool_500_100
Ruminococcus bromii,0.0508161989503192,healthy_stool_10_1
Ruminococcus bromii,0.0762242984254788,healthy_stool_10_10
Ruminococcus bromii,0.100363558939782,healthy_stool_10_50
Ruminococcus bromii,0.1,healthy_stool_10_100
Ruminococcus bromii,0.0221000278154864,healthy_stool_100_1
Ruminococcus bromii,0.0204307777099621,healthy_stool_100_10
Ruminococcus bromii,0.0353827070092506,healthy_stool_100_50
Ruminococcus bromii,0.01,healthy_stool_100_100
Ruminococcus bromii,0.0211923697421896,healthy_stool_500_1
Ruminococcus bromii,0.0110570959403908,healthy_stool_500_10
Ruminococcus bromii,0.0308751535594716,healthy_stool_500_50
Ruminococcus bromii,0.002,healthy_stool_500_100
Agathobacter rectalis,0.0507372800385962,healthy_stool_10_1
Agathobacter rectalis,0.0761059200578943,healthy_stool_10_10
Agathobacter rectalis,0.0468158802002417,healthy_stool_10_50
Agathobacter rectalis,0.1,healthy_stool_10_100
Agathobacter rectalis,0.0220657058831051,healthy_stool_100_1
Agathobacter rectalis,0.0203990481674967,healthy_stool_100_10
Agathobacter rectalis,0.035327756721967,healthy_stool_100_50
Agathobacter rectalis,0.01,healthy_stool_100_100
Agathobacter rectalis,0.0211594574269941,healthy_stool_500_1
Agathobacter rectalis,0.0110399239756147,healthy_stool_500_10
Agathobacter rectalis,0.0308272036228662,healthy_stool_500_50
Agathobacter rectalis,0.002,healthy_stool_500_100
Bifidobacterium adolescentis,0.0477285345970046,healthy_stool_10_1
Bifidobacterium adolescentis,0.0715928018955068,healthy_stool_10_10
Bifidobacterium adolescentis,0.0440396756808148,healthy_stool_10_50
Bifidobacterium adolescentis,0.1,healthy_stool_10_100
Bifidobacterium adolescentis,0.0207571987668232,healthy_stool_100_1
Bifidobacterium adolescentis,0.0191893746662748,healthy_stool_100_10
Bifidobacterium adolescentis,0.033232803525461,healthy_stool_100_50
Bifidobacterium adolescentis,0.01,healthy_stool_100_100
Bifidobacterium adolescentis,0.0199046912859714,healthy_stool_500_1
Bifidobacterium adolescentis,0.0103852511017066,healthy_stool_500_10
Bifidobacterium adolescentis,0.0289991354192345,healthy_stool_500_50
Bifidobacterium adolescentis,0.002,healthy_stool_500_100
Collinsella aerofaciens,0.0436326512055757,healthy_stool_10_1
Collinsella aerofaciens,0.0654489768083635,healthy_stool_10_10
Collinsella aerofaciens,0.0402603562923607,healthy_stool_10_50
Collinsella aerofaciens,0.1,healthy_stool_10_100
Collinsella aerofaciens,0.0189758940106751,healthy_stool_100_1
Collinsella aerofaciens,0.0175426146797984,healthy_stool_100_10
Collinsella aerofaciens,0.0303808892741674,healthy_stool_100_50
Collinsella aerofaciens,0.01,healthy_stool_100_100
Collinsella aerofaciens,0.0181965455166092,healthy_stool_500_1
Collinsella aerofaciens,0.00949402789817733,healthy_stool_500_10
Collinsella aerofaciens,0.0265105386472546,healthy_stool_500_50
Collinsella aerofaciens,0.002,healthy_stool_500_100
Alistipes putredinis,0.0411255805752186,healthy_stool_10_1
Alistipes putredinis,0.0616883708628279,healthy_stool_10_10
Alistipes putredinis,0.0379470529738727,healthy_stool_10_50
Alistipes putredinis,0.1,healthy_stool_10_100
Alistipes putredinis,0.0178855658906902,healthy_stool_100_1
Alistipes putredinis,0.0165346407697058,healthy_stool_100_10
Alistipes putredinis,0.028635246203694,healthy_stool_100_50
Alistipes putredinis,0.01,healthy_stool_100_100
Alistipes putredinis,0.0171509976624642,healthy_stool_500_1
Alistipes putredinis,0.00894851443865439,healthy_stool_500_10
Alistipes putredinis,0.0249872804678619,healthy_stool_500_50
Alistipes putredinis,0.002,healthy_stool_500_100
Phocaeicola dorei,0.0335283881061721,healthy_stool_10_1
Phocaeicola dorei,0.0502925821592581,healthy_stool_10_10
Phocaeicola dorei,0.0309370348527101,healthy_stool_10_50
Phocaeicola dorei,0.1,healthy_stool_10_100
Phocaeicola dorei,0.0145815374833377,healthy_stool_100_1
Phocaeicola dorei,0.013480170861269,healthy_stool_100_10
Phocaeicola dorei,0.0233454126313727,healthy_stool_100_50
Phocaeicola dorei,0.01,healthy_stool_100_100
Phocaeicola dorei,0.0139826671865068,healthy_stool_500_1
Phocaeicola dorei,0.00729544144730398,healthy_stool_500_10
Phocaeicola dorei,0.0203713412802026,healthy_stool_500_50
Phocaeicola dorei,0.002,healthy_stool_500_100
Segatella copri,0.5,healthy_stool_10_1
Segatella copri,0.25,healthy_stool_10_10
Segatella copri,0.240577329285554,healthy_stool_10_50
Segatella copri,0.1,healthy_stool_10_100
Segatella copri,0.5,healthy_stool_100_1
Segatella copri,0.0489737708448402,healthy_stool_100_10
Segatella copri,0.0848144211415031,healthy_stool_100_50
Segatella copri,0.01,healthy_stool_100_100
Segatella copri,0.5,healthy_stool_500_1
Segatella copri,0.0265045066067197,healthy_stool_500_10
Segatella copri,0.0740095515053998,healthy_stool_500_50
Segatella copri,0.002,healthy_stool_500_100
Faecalibacterium prausnitzii,0.091174961983853,healthy_stool_10_1
Faecalibacterium prausnitzii,0.13676244297578,healthy_stool_10_10
Faecalibacterium prausnitzii,0.180073359675033,healthy_stool_10_50
Faecalibacterium prausnitzii,0.1,healthy_stool_10_100
Faecalibacterium prausnitzii,0.0396521038082564,healthy_stool_100_1
Faecalibacterium prausnitzii,0.036657117601958,healthy_stool_100_10
Faecalibacterium prausnitzii,0.0634840273985895,healthy_stool_100_50
Faecalibacterium prausnitzii,0.01,healthy_stool_100_100
Faecalibacterium prausnitzii,0.0380235740866988,healthy_stool_500_1
Faecalibacterium prausnitzii,0.0198387585620592,healthy_stool_500_10
Faecalibacterium prausnitzii,0.0553965272920667,healthy_stool_500_50
Faecalibacterium prausnitzii,0.002,healthy_stool_500_100
Phocaeicola vulgatus,0.0751024825502899,healthy_stool_10_1
Phocaeicola vulgatus,0.112653723825435,healthy_stool_10_10
Phocaeicola vulgatus,0.148329717484953,healthy_stool_10_50
Phocaeicola vulgatus,0.1,healthy_stool_10_100
Phocaeicola vulgatus,0.0326621626107094,healthy_stool_100_1
Phocaeicola vulgatus,0.0301951377345519,healthy_stool_100_10
Phocaeicola vulgatus,0.0522929536375246,healthy_stool_100_50
Phocaeicola vulgatus,0.01,healthy_stool_100_100
Phocaeicola vulgatus,0.0313207129151498,healthy_stool_500_1
Phocaeicola vulgatus,0.0163415480117264,healthy_stool_500_10
Phocaeicola vulgatus,0.0456311319881428,healthy_stool_500_50
Phocaeicola vulgatus,0.002,healthy_stool_500_100
Bacteroides uniformis,0.0661539219929709,healthy_stool_10_1
Bacteroides uniformis,0.0992308829894563,healthy_stool_10_10
Bacteroides uniformis,0.130656034614679,healthy_stool_10_50
Bacteroides uniformis,0.1,healthy_stool_10_100
Bacteroides uniformis,0.0287704225492645,healthy_stool_100_1
Bacteroides uniformis,0.0265973469641431,healthy_stool_100_10
Bacteroides uniformis,0.0460621787489166,healthy_stool_100_50
Bacteroides uniformis,0.01,healthy_stool_100_100
Bacteroides uniformis,0.0275888083668288,healthy_stool_500_1
Bacteroides uniformis,0.0143944308590364,healthy_stool_500_10
Bacteroides uniformis,0.0401941219982069,healthy_stool_500_50
Bacteroides uniformis,0.002,healthy_stool_500_100
Ruminococcus bromii,0.0508161989503192,healthy_stool_10_1
Ruminococcus bromii,0.0762242984254788,healthy_stool_10_10
Ruminococcus bromii,0.100363558939782,healthy_stool_10_50
Ruminococcus bromii,0.1,healthy_stool_10_100
Ruminococcus bromii,0.0221000278154864,healthy_stool_100_1
Ruminococcus bromii,0.0204307777099621,healthy_stool_100_10
Ruminococcus bromii,0.0353827070092506,healthy_stool_100_50
Ruminococcus bromii,0.01,healthy_stool_100_100
Ruminococcus bromii,0.0211923697421896,healthy_stool_500_1
Ruminococcus bromii,0.0110570959403908,healthy_stool_500_10
Ruminococcus bromii,0.0308751535594716,healthy_stool_500_50
Ruminococcus bromii,0.002,healthy_stool_500_100
Agathobacter rectalis,0.0507372800385962,healthy_stool_10_1
Agathobacter rectalis,0.0761059200578943,healthy_stool_10_10
Agathobacter rectalis,0.0468158802002417,healthy_stool_10_50
Agathobacter rectalis,0.1,healthy_stool_10_100
Agathobacter rectalis,0.0220657058831051,healthy_stool_100_1
Agathobacter rectalis,0.0203990481674967,healthy_stool_100_10
Agathobacter rectalis,0.035327756721967,healthy_stool_100_50
Agathobacter rectalis,0.01,healthy_stool_100_100
Agathobacter rectalis,0.0211594574269941,healthy_stool_500_1
Agathobacter rectalis,0.0110399239756147,healthy_stool_500_10
Agathobacter rectalis,0.0308272036228662,healthy_stool_500_50
Agathobacter rectalis,0.002,healthy_stool_500_100
Bifidobacterium adolescentis,0.0477285345970046,healthy_stool_10_1
Bifidobacterium adolescentis,0.0715928018955068,healthy_stool_10_10
Bifidobacterium adolescentis,0.0440396756808148,healthy_stool_10_50
Bifidobacterium adolescentis,0.1,healthy_stool_10_100
Bifidobacterium adolescentis,0.0207571987668232,healthy_stool_100_1
Bifidobacterium adolescentis,0.0191893746662748,healthy_stool_100_10
Bifidobacterium adolescentis,0.033232803525461,healthy_stool_100_50
Bifidobacterium adolescentis,0.01,healthy_stool_100_100
Bifidobacterium adolescentis,0.0199046912859714,healthy_stool_500_1
Bifidobacterium adolescentis,0.0103852511017066,healthy_stool_500_10
Bifidobacterium adolescentis,0.0289991354192345,healthy_stool_500_50
Bifidobacterium adolescentis,0.002,healthy_stool_500_100
Collinsella aerofaciens,0.0436326512055757,healthy_stool_10_1
Collinsella aerofaciens,0.0654489768083635,healthy_stool_10_10
Collinsella aerofaciens,0.0402603562923607,healthy_stool_10_50
Collinsella aerofaciens,0.1,healthy_stool_10_100
Collinsella aerofaciens,0.0189758940106751,healthy_stool_100_1
Collinsella aerofaciens,0.0175426146797984,healthy_stool_100_10
Collinsella aerofaciens,0.0303808892741674,healthy_stool_100_50
Collinsella aerofaciens,0.01,healthy_stool_100_100
Collinsella aerofaciens,0.0181965455166092,healthy_stool_500_1
Collinsella aerofaciens,0.00949402789817733,healthy_stool_500_10
Collinsella aerofaciens,0.0265105386472546,healthy_stool_500_50
Collinsella aerofaciens,0.002,healthy_stool_500_100
Alistipes putredinis,0.0411255805752186,healthy_stool_10_1
Alistipes putredinis,0.0616883708628279,healthy_stool_10_10
Alistipes putredinis,0.0379470529738727,healthy_stool_10_50
Alistipes putredinis,0.1,healthy_stool_10_100
Alistipes putredinis,0.0178855658906902,healthy_stool_100_1
Alistipes putredinis,0.0165346407697058,healthy_stool_100_10
Alistipes putredinis,0.028635246203694,healthy_stool_100_50
Alistipes putredinis,0.01,healthy_stool_100_100
Alistipes putredinis,0.0171509976624642,healthy_stool_500_1
Alistipes putredinis,0.00894851443865439,healthy_stool_500_10
Alistipes putredinis,0.0249872804678619,healthy_stool_500_50
Alistipes putredinis,0.002,healthy_stool_500_100
Phocaeicola dorei,0.0335283881061721,healthy_stool_10_1
Phocaeicola dorei,0.0502925821592581,healthy_stool_10_10
Phocaeicola dorei,0.0309370348527101,healthy_stool_10_50
Phocaeicola dorei,0.1,healthy_stool_10_100
Phocaeicola dorei,0.0145815374833377,healthy_stool_100_1
Phocaeicola dorei,0.013480170861269,healthy_stool_100_10
Phocaeicola dorei,0.0233454126313727,healthy_stool_100_50
Phocaeicola dorei,0.01,healthy_stool_100_100
Phocaeicola dorei,0.0139826671865068,healthy_stool_500_1
Phocaeicola dorei,0.00729544144730398,healthy_stool_500_10
Phocaeicola dorei,0.0203713412802026,healthy_stool_500_50
Phocaeicola dorei,0.002,healthy_stool_500_100
Segatella copri,0.5,healthy_stool_10_1
Segatella copri,0.25,healthy_stool_10_10
Segatella copri,0.240577329285554,healthy_stool_10_50
Segatella copri,0.1,healthy_stool_10_100
Segatella copri,0.5,healthy_stool_100_1
Segatella copri,0.0489737708448402,healthy_stool_100_10
Segatella copri,0.0848144211415031,healthy_stool_100_50
Segatella copri,0.01,healthy_stool_100_100
Segatella copri,0.5,healthy_stool_500_1
Segatella copri,0.0265045066067197,healthy_stool_500_10
Segatella copri,0.0740095515053998,healthy_stool_500_50
Segatella copri,0.002,healthy_stool_500_100
Faecalibacterium prausnitzii,0.091174961983853,healthy_stool_10_1
Faecalibacterium prausnitzii,0.13676244297578,healthy_stool_10_10
Faecalibacterium prausnitzii,0.180073359675033,healthy_stool_10_50
Faecalibacterium prausnitzii,0.1,healthy_stool_10_100
Faecalibacterium prausnitzii,0.0396521038082564,healthy_stool_100_1
Faecalibacterium prausnitzii,0.036657117601958,healthy_stool_100_10
Faecalibacterium prausnitzii,0.0634840273985895,healthy_stool_100_50
Faecalibacterium prausnitzii,0.01,healthy_stool_100_100
Faecalibacterium prausnitzii,0.0380235740866988,healthy_stool_500_1
Faecalibacterium prausnitzii,0.0198387585620592,healthy_stool_500_10
Faecalibacterium prausnitzii,0.0553965272920667,healthy_stool_500_50
Faecalibacterium prausnitzii,0.002,healthy_stool_500_100
Phocaeicola vulgatus,0.0751024825502899,healthy_stool_10_1
Phocaeicola vulgatus,0.112653723825435,healthy_stool_10_10
Phocaeicola vulgatus,0.148329717484953,healthy_stool_10_50
Phocaeicola vulgatus,0.1,healthy_stool_10_100
Phocaeicola vulgatus,0.0326621626107094,healthy_stool_100_1
Phocaeicola vulgatus,0.0301951377345519,healthy_stool_100_10
Phocaeicola vulgatus,0.0522929536375246,healthy_stool_100_50
Phocaeicola vulgatus,0.01,healthy_stool_100_100
Phocaeicola vulgatus,0.0313207129151498,healthy_stool_500_1
Phocaeicola vulgatus,0.0163415480117264,healthy_stool_500_10
Phocaeicola vulgatus,0.0456311319881428,healthy_stool_500_50
Phocaeicola vulgatus,0.002,healthy_stool_500_100
Bacteroides uniformis,0.0661539219929709,healthy_stool_10_1
Bacteroides uniformis,0.0992308829894563,healthy_stool_10_10
Bacteroides uniformis,0.130656034614679,healthy_stool_10_50
Bacteroides uniformis,0.1,healthy_stool_10_100
Bacteroides uniformis,0.0287704225492645,healthy_stool_100_1
Bacteroides uniformis,0.0265973469641431,healthy_stool_100_10
Bacteroides uniformis,0.0460621787489166,healthy_stool_100_50
Bacteroides uniformis,0.01,healthy_stool_100_100
Bacteroides uniformis,0.0275888083668288,healthy_stool_500_1
Bacteroides uniformis,0.0143944308590364,healthy_stool_500_10
Bacteroides uniformis,0.0401941219982069,healthy_stool_500_50
Bacteroides uniformis,0.002,healthy_stool_500_100
Ruminococcus bromii,0.0508161989503192,healthy_stool_10_1
Ruminococcus bromii,0.0762242984254788,healthy_stool_10_10
Ruminococcus bromii,0.100363558939782,healthy_stool_10_50
Ruminococcus bromii,0.1,healthy_stool_10_100
Ruminococcus bromii,0.0221000278154864,healthy_stool_100_1
Ruminococcus bromii,0.0204307777099621,healthy_stool_100_10
Ruminococcus bromii,0.0353827070092506,healthy_stool_100_50
Ruminococcus bromii,0.01,healthy_stool_100_100
Ruminococcus bromii,0.0211923697421896,healthy_stool_500_1
Ruminococcus bromii,0.0110570959403908,healthy_stool_500_10
Ruminococcus bromii,0.0308751535594716,healthy_stool_500_50
Ruminococcus bromii,0.002,healthy_stool_500_100
Agathobacter rectalis,0.0507372800385962,healthy_stool_10_1
Agathobacter rectalis,0.0761059200578943,healthy_stool_10_10
Agathobacter rectalis,0.0468158802002417,healthy_stool_10_50
Agathobacter rectalis,0.1,healthy_stool_10_100
Agathobacter rectalis,0.0220657058831051,healthy_stool_100_1
Agathobacter rectalis,0.0203990481674967,healthy_stool_100_10
Agathobacter rectalis,0.035327756721967,healthy_stool_100_50
Agathobacter rectalis,0.01,healthy_stool_100_100
Agathobacter rectalis,0.0211594574269941,healthy_stool_500_1
Agathobacter rectalis,0.0110399239756147,healthy_stool_500_10
Agathobacter rectalis,0.0308272036228662,healthy_stool_500_50
Agathobacter rectalis,0.002,healthy_stool_500_100
Bifidobacterium adolescentis,0.0477285345970046,healthy_stool_10_1
Bifidobacterium adolescentis,0.0715928018955068,healthy_stool_10_10
Bifidobacterium adolescentis,0.0440396756808148,healthy_stool_10_50
Bifidobacterium adolescentis,0.1,healthy_stool_10_100
Bifidobacterium adolescentis,0.0207571987668232,healthy_stool_100_1
Bifidobacterium adolescentis,0.0191893746662748,healthy_stool_100_10
Bifidobacterium adolescentis,0.033232803525461,healthy_stool_100_50
Bifidobacterium adolescentis,0.01,healthy_stool_100_100
Bifidobacterium adolescentis,0.0199046912859714,healthy_stool_500_1
Bifidobacterium adolescentis,0.0103852511017066,healthy_stool_500_10
Bifidobacterium adolescentis,0.0289991354192345,healthy_stool_500_50
Bifidobacterium adolescentis,0.002,healthy_stool_500_100
Collinsella aerofaciens,0.0436326512055757,healthy_stool_10_1
Collinsella aerofaciens,0.0654489768083635,healthy_stool_10_10
Collinsella aerofaciens,0.0402603562923607,healthy_stool_10_50
Collinsella aerofaciens,0.1,healthy_stool_10_100
Collinsella aerofaciens,0.0189758940106751,healthy_stool_100_1
Collinsella aerofaciens,0.0175426146797984,healthy_stool_100_10
Collinsella aerofaciens,0.0303808892741674,healthy_stool_100_50
Collinsella aerofaciens,0.01,healthy_stool_100_100
Collinsella aerofaciens,0.0181965455166092,healthy_stool_500_1
Collinsella aerofaciens,0.00949402789817733,healthy_stool_500_10
Collinsella aerofaciens,0.0265105386472546,healthy_stool_500_50
Collinsella aerofaciens,0.002,healthy_stool_500_100
Alistipes putredinis,0.0411255805752186,healthy_stool_10_1
Alistipes putredinis,0.0616883708628279,healthy_stool_10_10
Alistipes putredinis,0.0379470529738727,healthy_stool_10_50
Alistipes putredinis,0.1,healthy_stool_10_100
Alistipes putredinis,0.0178855658906902,healthy_stool_100_1
Alistipes putredinis,0.0165346407697058,healthy_stool_100_10
Alistipes putredinis,0.028635246203694,healthy_stool_100_50
Alistipes putredinis,0.01,healthy_stool_100_100
Alistipes putredinis,0.0171509976624642,healthy_stool_500_1
Alistipes putredinis,0.00894851443865439,healthy_stool_500_10
